"workerId","postId","userAgent","experimentID","taskID","modules/g01.html_time","modules/g01.html_answers","modules/g01.html_responses","modules/g01.html_grade","modules/g01.html_exitq","q1"
"debug","j0hgdjlt","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g01.html","4530","[true,false,false,true]","[true,true,true,true]","0.5","false","baz buzz"
"workerId","postId","userAgent","experimentID","taskID","modules/g02.html_time","modules/g02.html_answers","modules/g02.html_responses","modules/g02.html_grade","modules/g02.html_exitq","q1"
"debug","j0hgdjlt","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g02.html","2805","[false,true,true,false]","[true,true,true,true]","0.5","false","baz buzz"
"workerId","postId","userAgent","experimentID","taskID","modules/g03.html_time","modules/g03.html_answers","modules/g03.html_responses","modules/g03.html_grade","modules/g03.html_exitq","q1"
"debug","j0hgdjlt","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g03.html","5020","[true,false,true,false]","[true,true,true,true]","0.5","false","baz buzz"
"workerId","postId","userAgent","experimentID","taskID","modules/g04.html_time","modules/g04.html_answers","modules/g04.html_responses","modules/g04.html_grade","modules/g04.html_exitq","q1"
"debug","j0hgdjlt","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g04.html","43814","[true,true,false,true]","[true,true,true,true]","0.75","true","baz buzz"
"workerId","postId","userAgent","experimentID","taskID","modules/g05.html_time","modules/g05.html_answers","modules/g05.html_responses","modules/g05.html_grade","modules/g05.html_exitq","q1"
"debug","j0hgdjlt","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g05.html","15769","[false,false,true,true]","[true,true,true,true]","0.5","true","baz buzz"
"workerId","postId","userAgent","experimentID","taskID","modules/g06.html_time","modules/g06.html_answers","modules/g06.html_responses","modules/g06.html_grade","modules/g06.html_exitq","q1"
"debug","j0hgdjlt","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g06.html","6564","[true,false,true,false]","[true,true,true,true]","0.5","true","baz buzz"
"workerId","postId","userAgent","experimentID","taskID","modules/g07.html_time","modules/g07.html_answers","modules/g07.html_responses","modules/g07.html_grade","modules/g07.html_exitq","q1"
"debug","j0hgdjlt","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g07.html","6295","[false,true,false,true]","[true,true,true,true]","0.5","true","baz buzz"
"workerId","postId","userAgent","experimentID","taskID","modules/g08.html_time","modules/g08.html_answers","modules/g08.html_responses","modules/g08.html_grade","modules/g08.html_exitq","q1"
"debug","j0hgdjlt","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g08.html","4442","[true,false,true,false]","[true,true,true,true]","0.5","true","baz buzz"
"workerId","postId","userAgent","experimentID","taskID","modules/g09.html_time","modules/g09.html_answers","modules/g09.html_responses","modules/g09.html_grade","modules/g09.html_exitq","q1"
"debug","j0hgdjlt","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g09.html","4153","[true,false,false,true]","[true,true,true,true]","0.5","true","baz buzz"
"workerId","postId","userAgent","experimentID","taskID","modules/gprov.html_time","modules/gprov.html_exitq"
"debug","j0hgdjlt","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/gprov.html","7690","{""userAgent"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"",""experimentID"":""modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html"",""modules/gprov.html_start"":1489974646819,""q1"":""foo bar""}"
"workerId","postId","userAgent","experimentID","taskID","modules/g01.html_time","modules/g01.html_answers","modules/g01.html_responses","modules/g01.html_grade","modules/g01.html_exitq","q1"
"A3W6T1WDYXMR3","j0hwtkqw","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g01.html","202355","[true,false,false,true]","[true,false,false,true]","1","true","There was a lot to think about so I missed some stuff here and there but overall I understood."
"A36VA1TSX3RYED","j0hxjy5j","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g01.html","48460","[true,false,false,true]","[true,false,false,true]","1","true","None."
"A1689SP9SJBJDA","j0hzy9vx","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g01.html","19286","[true,false,false,true]","[true,false,false,true]","1","true","Yes,  a couple of points, I was unable to ascertain why the answer I gave was incorrect, when according to the rules, it was correct. I have a screenshot if necessary. I do not recall which task #, as the HIT itself was not loading properly, and I was trying to get through it all a second time before the time expired, which it did. I was unable to submit the HIT as a result. I figured I would submit it on this end regardless, as you could likely use this data to fix the survey if there is an issue.\n\n- A1689SP9SJBJDA - MTurk worker ID"
"A2WH3GIS2KF8LU","j0hx3sl0","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g01.html","96638","[true,false,false,true]","[true,false,false,true]","1","true","One of the tasks specified that only instructors and assistants may grade assignments for a particular class. It did not state that all assistants were required to have the ability to grade papers though. \n\nHowever, one of the examples marked as inconsistent provided the reason for that inconsistency as an assistant not being stated as having the ability to grade assignments. I found this a bit unclear as I have explained above. Thanks!"
"A2CK0OXMPOR9LE","j0hwsj1o","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36","modules/g01.html,modules/g02.html,modules/g03.html,modules/g04.html,modules/g05.html,modules/g06.html,modules/g07.html,modules/g08.html,modules/g09.html,modules/gprov.html","modules/g01.html","64237","[true,false,false,true]","[true,true,false,true]","0.75","true","I struggled with it quite a bit because I think that a lot of the study I believed all of the bullet points were applied to it being consistent or not instead of just the last one. I wish there was a little more clarity in regards to that."
